,top,bottom,itemRating
0,8188,52013,4.0
1,9532,39863,5.0
2,2541,55868,1.0
3,25719,52417,4.0
4,25701,13091,5.0
5,89971,25065,3.0
6,32824,48832,5.0
7,2553,24613,4.0
8,30984,41625,2.0
9,30740,34518,5.0
10,89402,40631,1.0
11,8344,45324,4.0
12,20076,44871,3.0
13,32788,40796,3.0
14,10154,5286,2.0
15,30281,40671,4.0
16,2413,25041,5.0
17,20445,32607,2.0
18,28808,11916,1.0
19,5867,36356,3.0
20,30308,40233,4.0
21,94927,54526,5.0
22,94928,16235,2.0
23,11764,3899,1.0
24,30291,39963,4.0
25,20130,50287,4.0
26,16266,40725,2.0
27,32754,40198,4.0
28,32768,3015,3.0
29,27222,40187,2.0
30,56347,41139,2.0
31,122504,42403,1.0
32,31466,18704,5.0
33,32151,11280,2.0
34,11983,51831,3.0
35,28892,50571,1.0
36,106303,54801,4.0
37,8323,44818,3.0
38,42656,51730,2.0
39,8329,41222,3.0
40,9339,34847,5.0
41,20123,41590,1.0
42,90280,54904,4.0
43,128471,15463,5.0
44,106067,28825,2.0
45,67885,46053,3.0
46,32748,39887,4.0
47,9466,48253,4.0
48,32061,39513,5.0
49,20469,39523,2.0
50,30282,20843,5.0
51,2405,20850,5.0
52,32062,52425,3.0
53,15320,46001,4.0
54,90221,25060,2.0
55,56304,52460,1.0
56,104279,48043,3.0
57,28777,13109,5.0
58,16131,25081,5.0
59,16133,40260,4.0
60,30311,11908,1.0
61,32584,47636,4.0
62,16276,52454,2.0
63,8419,52418,3.0
64,30199,47108,3.0
65,125630,46713,4.0
66,20503,47057,5.0
67,2104,45714,3.0
68,81913,16784,2.0
69,2432,35251,4.0
70,60532,5934,1.0
71,138258,55322,5.0
72,5850,53159,3.0
73,90409,58203,3.0
74,47617,48152,3.0
